nazivSektora,budzet
DOO,3.768.264.678
FIZIČKO LICE,15.389.940
FONDACIJA,190.253.909
OSTALO,720.598.895
PREDUZETNIK,668.108.039
UDRUŽENJE,8.605.763.077
USTANOVA,803.487.025
ZADUŽBINA,7.742.300
