nazivSektora,budzet
CENTAR ZA EDUKACIJU I USAVRŠAVANJE BEOGRAD,28.860.000
UDRUŽENJE RESURS CENTAR ZA ODRŽIVI RAZVOJ BEOGRAD,29.544.000
UDRUŽENJE GRAĐANA SOCIETAS BEOGRAD,29.670.000
MLADI ISTRAŽIVAČI SRBIJE,65.999.251
OMLADINSKA PRESTONICA EVROPE - OPENS,182.908.000
