nazivSektora,budzet
ZONA PLUS,61.930.000
VTV DOO SUBOTICA,62.849.000
RTV BELLE AMIE,70.759.000
NOVOSADSKA TV,98.745.000
RTV NOVI PAZAR,155.510.000
