nazivSektora,budzet
ZAVOD ZA ZAŠTITU SPOMENIKA KULTURE NIŠ,28.180.000
ARHEOLOŠKI INSTITUT BEOGRAD,29.842.000
ZAVOD ZA ZAŠTITU SPOMENIKA KULTURE SREMSKA MITROVICA,30.560.190
FONDACIJA EXIT,30.674.000
MUZIČKA OMLADINA NOVOG SADA,44.410.000
